2022-04-13 23:41:13.475|[main]|INFO |c.n.b.BusinessApplication-Starting BusinessApplication using Java 1.8.0_322 on CommonRom-Laptop with PID 2032 (P:\JavaProject\NianNianProject\target\classes started by CommonRom in P:\JavaProject\NianNianProject)
2022-04-13 23:41:13.479|[main]|INFO |c.n.b.BusinessApplication-No active profile set, falling back to 1 default profile: "default"
2022-04-13 23:41:16.608|[main]|INFO |c.n.b.BusinessApplication-Started BusinessApplication in 3.66 seconds (JVM running for 4.583)
2022-04-13 23:41:41.501|[main]|INFO |c.n.b.BusinessApplicationTests-Starting BusinessApplicationTests using Java 1.8.0_322 on CommonRom-Laptop with PID 19384 (started by CommonRom in P:\JavaProject\NianNianProject)
2022-04-13 23:41:41.503|[main]|INFO |c.n.b.BusinessApplicationTests-No active profile set, falling back to 1 default profile: "default"
2022-04-13 23:41:46.568|[main]|INFO |c.n.b.BusinessApplicationTests-Started BusinessApplicationTests in 5.528 seconds (JVM running for 6.606)
2022-04-13 23:41:59.998|[main]|INFO |c.n.b.BusinessApplicationTests-Starting BusinessApplicationTests using Java 1.8.0_322 on CommonRom-Laptop with PID 2848 (started by CommonRom in P:\JavaProject\NianNianProject)
2022-04-13 23:41:59.999|[main]|INFO |c.n.b.BusinessApplicationTests-No active profile set, falling back to 1 default profile: "default"
2022-04-13 23:42:04.126|[main]|INFO |c.n.b.BusinessApplicationTests-Started BusinessApplicationTests in 4.464 seconds (JVM running for 5.146)
